customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,is_new_customer,tenure_years,lifecycle_stage,avg_monthly_spending,price_tier,expected_total,spending_ratio,is_high_value,total_services,has_internet,has_phone,has_streaming,has_security,engagement_level,contract_level,has_long_contract,uses_paperless,risky_payment,uses_auto_payment,has_family,family_size,senior_with_dependents,single_senior,customer_profile,churn_risk_score,is_high_risk,value_risk_ratio,engagement_per_dollar,cluster,Churn_binary,segment_name
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0-1 Year,1,0.0833333333333333,New,29.85,Low,29.85,0.9675850891410048,0,2,1,0,0,0,Low,0,0,1,1,0,1,2,0,0,Adult with Family,9,1,2.9850000000000003,0.067001675041876,3,0,High-Risk New
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,2-4 Years,0,2.833333333333333,Mature,55.5735294117647,Medium,1936.3,0.9753264853146132,0,4,1,1,0,1,Medium,1,1,0,0,0,0,1,0,0,Adult Alone,1,0,944.75,0.0702370500438981,0,0,At-Risk Mid-Tier
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,0-1 Year,1,0.1666666666666666,New,54.075,Medium,107.7,0.9949402023919044,0,4,1,1,0,1,Medium,0,0,1,0,0,0,1,0,0,Adult Alone,6,1,15.45,0.0742804085422469,3,1,High-Risk New
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,2-4 Years,0,3.75,Mature,40.90555555555556,Medium,1903.5,0.9665266474140196,0,4,1,0,0,1,Medium,1,1,0,0,1,0,1,0,0,Adult Alone,1,0,920.375,0.0945626477541371,0,0,At-Risk Mid-Tier
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,0-1 Year,1,0.1666666666666666,New,75.825,High,141.4,1.0649578651685394,0,2,1,1,0,0,Low,0,0,1,1,0,0,1,0,0,Adult Alone,9,1,15.165,0.0282885431400282,3,1,High-Risk New
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,0-1 Year,1,0.6666666666666666,Growing,102.5625,High,797.2,1.0279378601854172,0,5,1,1,1,1,High,0,0,1,1,0,0,1,0,0,Adult Alone,9,1,82.05,0.0501756146512794,3,1,High-Risk New
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,1-2 Years,0,1.8333333333333333,Growing,88.60909090909091,High,1960.2,0.9939832755455844,0,4,1,1,1,0,Medium,0,0,1,0,1,1,2,0,0,Adult with Family,6,1,278.4857142857143,0.0448933782267115,0,0,At-Risk Mid-Tier
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0-1 Year,1,0.8333333333333334,Growing,30.19,Low,297.5,1.0113902847571188,0,2,1,0,0,1,Low,0,0,0,0,0,0,1,0,0,Adult Alone,7,1,37.7375,0.0672268907563025,3,0,High-Risk New
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,2-4 Years,0,2.333333333333333,Mature,108.7875,High,2934.4,1.0376950330449002,0,6,1,1,1,1,High,0,0,1,1,0,1,2,0,0,Adult with Family,7,1,380.75625,0.0572519083969465,0,1,At-Risk Mid-Tier
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,4+ Years,0,5.166666666666667,Loyal,56.25725806451613,Medium,3481.3,1.0016224908824627,0,4,1,1,0,1,Medium,1,1,0,0,1,1,2,0,0,Adult with Family,0,0,3487.95,0.0712377560106856,1,0,Loyal Premium
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,1-2 Years,0,1.0833333333333333,Growing,45.18846153846154,Medium,649.35,0.9032828476973938,0,3,1,1,0,1,Medium,0,0,1,0,0,1,3,0,0,Adult with Family,5,0,97.90833333333336,0.06006006006006,0,0,At-Risk Mid-Tier
